Order,ID,Archive_ID,Title,URL,Snippet,Phrase,HasPhrase,SpeakerVisible,HandsVisible,HandsVisibleGenerous,HandsFree,HandsFreeGenerous,Aspect,Agent,Animacy,Negated,Contrasted,SpeakerName,Duplicate,NonNative,HandsMoving,NounPlural,ContextMove,WhichHand,HandConfig,PalmOrientation,MovementVertical,MovementHorizontal,MovementSagittal,Duration,StrokeDuration,OfInterest,Comments
883,502,CSPAN2_20140917_220000_Key_Capitol_Hill_Hearings,"Key Capitol Hill Hearings : CSPAN2 : September 17, 2014 6:00pm-8:01pm EDT",https://archive.org/download/CSPAN2_20140917_220000_Key_Capitol_Hill_Hearings/CSPAN2_20140917_220000_Key_Capitol_Hill_Hearings.mp4?t=500/560?ignore=x.mp4," e.p.a. lowers the standard to 60 parts per billion. in oklahoma -- in oklahoma, all 77 countries would be out of attainment. what does that mean? it means when you -- i was mayor of the city of tulsa once when it was out of attainment. we were not able to get -- have any -- to increase populations in many of our businesses. it essentially means that the e.p.a. will have to issue a regulatory permit for any business expansion plans that could increase emission levels. it would make business expansion enormously expensive and would dramatically increase the power of the e.p.a. now, all told, this rule would put nearly 94% of the counties' population in -- out of attainment. that's 94% of the counties in the united states of america. and the zones would cede our economic superiority to the likes of china and india. zooming it to more industry-focused regulations, the e.p.a. has been the main culprit in the president's war on fossil fuels. hydraulic fracking and horizontal drilling have opened up dramatically new -- dramatic new oil and natural gas resources in this country, and no o",lower_the_standards,no,yes,neither,one,neither,neither,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,101,FOXNEWSW_20120518_100000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : May 18, 2012 3:00am-6:00am PDT",https://archive.org/download/FOXNEWSW_20120518_100000_FOX_and_Friends/FOXNEWSW_20120518_100000_FOX_and_Friends.mp4?t=2764/2824?ignore=x.mp4," decided to lower the bar. lower the standard. joining me now, mom jan and her son a fourth grader who took that exam. good morning to both of you. >> good morning, gretchen. >> you're so polite. thank you so much, sir. let me start with you, hayden. what did you think of the exam sf what was the question and how did you answer it? >> well, i thought the exam was sort of in between. it was a prompt -- it was fairly difficult to write on. >> so it was an essay question. here, i'm going to give you a sample essay question. i think this is the one that most of the kids saw. here was the question. suppose you or someone else had a chance to ride a camel. imagine what happens on this camel ride, write a story about what happens on this camel ride. is that the question that you had? >> yes. >> all right. how did you answer it? >> well, i answered it like my person and the camel went on this journey and a sandstorm came and they went in a cave and after the storm was done, they came out to a watering hole and then they decided to go back into the cave and they found out that there was like th",lower_the_standards,yes,yes,neither,one,one,one,non-progressive,other,animate,no,no,gretchen carlson,no,no,yes,NA,NA,L,open,down,down,left,NA,NA,NA,NA,NA
885,183,CSPAN3_20160530_125600_Vietnam_Post-War_Trauma,"Vietnam Post-War Trauma : CSPAN3 : May 30, 2016 8:56am-9:48am EDT",https://archive.org/download/CSPAN3_20160530_125600_Vietnam_Post-War_Trauma/CSPAN3_20160530_125600_Vietnam_Post-War_Trauma.mp4?t=2455/2515?ignore=x.mp4," remember how difficult it was and how they lowered the standards as the war went on because they had the college deferments back home to get people who have not been in the u.s. military, a tragedy that so many of them would get killed in combat because they were not -- didn't know what to do. >> harder to get in the army now than to get into community college. >> it's true. what we are talking about here is something that is primal and essential. i always feel that having done my job sitting and standing or sitting in front of a group like this, i don't recommend someone else's book. there is a book by william mcneil, military historian that has a lovely title. it's called ""keeping together in time"" a history of close order drill. his theory is that at the dawn of civilization on the african savannah if you wanted to go out and get meat for dinner and went out with your little spear the chances were you would be the lion's dinner and that over time the habit grew of young men doing the kill the lion dance together and that gave them a much better chance of coming home with some protein.",lower_the_standards,yes,yes,neither,both,one,one,non-progressive,other,animate,no,no,jan scruggs,no,no,yes,NA,NA,L,open,up,down,right,NA,NA,NA,yes,NA
886,150,FOXNEWS_20130821_060000_The_Five,"The Five : FOXNEWS : August 21, 2013 2:00am-3:00am EDT",https://archive.org/download/FOXNEWS_20130821_060000_The_Five/FOXNEWS_20130821_060000_The_Five.mp4?t=1967/2027?ignore=x.mp4," approaches how to do it. i don't think lowering the standard to allow subjectivity, i am not sure that's the right path to educational greatness or competency even. >> i am not saying every conservative, i say florida parents are willing to drop it. indiana, too controversial, we're out of it. >> federal obama administration initiative, this came from 45 state educators. it also is supported by somebody i give a lot of credit to that understands education, jeb bush. if he tells me this is a good idea, and one example, yeah, but the fact of the matter, the core curriculum needed in math and english is something we need to set standards on. do you want to be put under by an anesthesiologist who thinks three times four is 11, but here is a good reason why it is so? >> i think i had that already. >> well done. >> going to be interesting. i don't think it cuts on party lines but seems as though president obama is embracing it, a lot of people think like race to the top, if they put this in, they get a lot of federal money and you don't. race to the top you get money if you win the race. with ",lower_the_standards,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA
887,374,KGO_20101024_180000_Political_Debate,"Political Debate : KGO : October 24, 2010 10:00am-11:00am PST",https://archive.org/download/KGO_20101024_180000_Political_Debate/KGO_20101024_180000_Political_Debate.mp4?t=1831/1891?ignore=x.mp4,". should we lower the standards or step up and meet in the standards and put the money there to meet the standards for every child. there's a concept of a weighted form a la. you have to increase the pie because to take away from one district to start a war between districts over their current funding stream. we should target certain kind of investments. the quality education improvement act. the governor ripped off and put the money back in the school. those schools are thriving. after-school program legislation targeted the lower three -- we need to do some targeted correction of these inequities and looking at where the students need to help the most so we can succeed. we want to do that at the high expend low end in terms of achievement. so those students struggling with the english language, come from a family without a literacy tradition, need the support early you' on. you're not going to start with universal child care and preschool. you have to start and target it. so some programs we look at would target in that way. >> i believe the robless vs. wong lawsuit is an indictment of",lower_the_standards,yes,yes,neither,both,both,both,non-progressive,speaker,NA,no,no,tom torlakson,no,no,yes,yes,NA,both,open,inward,down,NA,NA,NA,NA,NA,NA
888,75,CSPAN2_20130312_100000_Today_in_Washington,"Today in Washington : CSPAN2 : March 12, 2013 6:00am-9:00am EDT",https://archive.org/download/CSPAN2_20130312_100000_Today_in_Washington/CSPAN2_20130312_100000_Today_in_Washington.mp4?t=4692/4752?ignore=x.mp4," that there are areas where we just cannot meet the requirements without lowering the standards, without unduly affecting the cohesion of the small units, then we will come forward to the secretary for an exception to policy. having said that, my going in imposition is where going to find a way to make this work. and so my staff, and we're working very closely with the services. as you know the services all have equities in this in terms of the special operations, mos's that we have the. but i'm in agreement with the service chiefs. i will be looking at those special operations unique mos's to the special forces, the 18 series, the green berets, navy seals, the ranges, et cetera, i'm going to have an opportunity to provide my input directly to the service chiefs. >> a key point was not to lower the standard. so when you said assess the standards, i don't think anybody is saying lower the standards. >> applet enough. in fact, i was asked at a press conference a couple of weeks back about the concept of a general -- gender-neutral standard and i said we have never had gender to standard be",lower_the_standards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
889,383,CSPAN3_20160429_213000_Politics_and_Public_Policy_Today,"Politics and Public Policy Today : CSPAN3 : April 29, 2016 5:30pm-7:01pm EDT",https://archive.org/download/CSPAN3_20160429_213000_Politics_and_Public_Policy_Today/CSPAN3_20160429_213000_Politics_and_Public_Policy_Today.mp4?t=4901/4961?ignore=x.mp4," of the fbi significantly primarily by lowering the standards in which they can get these types of warrants. so instead of -- so you have things such as relevance or indicative of or some purpose rather than significant purpose. and for lawyers, that does mean a lot because it's a higher burden to have to meet if you're trying to get a warrant. you also have -- so just if you don't know, this is the business records if you go to the business to get your warrant. the sneak and peek is where you go and get a warrant, but you don't have to tell the person that you're searching their home or car. you go, search it, come back, and later you tell them. which is an anomaly under the normal process. the wiretap, it's essentially not connected to a particular phone or device, but it roves allegedly with the person. you can see how that can become very broad if it's abused. then you have the national security letters which effectively are subpoenas, administrative subpoenas that existed before 9/11, but the patriot act expanded them so all they have to be a relevant to a terror investigation",lower_the_standards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
890,24,CNN_20130128_030000_CNN_Newsroom,"CNN Newsroom : CNN : January 27, 2013 10:00pm-11:00pm EST",https://archive.org/download/CNN_20130128_030000_CNN_Newsroom/CNN_20130128_030000_CNN_Newsroom.mp4?t=1434/1494?ignore=x.mp4," so high, that's when the pressure to lower the standards will continue. he also asked for a critical mass of women. that will further lower the standards so we can have more women in the unit. and then we have a diversity commission that says, we're supposed to have diversity metrics, that's another name for quotas and promotions for men will be contingent on meeting the diversity quota. the military is not there just to support equal opportunity. it's there to defent the country and carry out the missions that are asked of them. >> one shouldn't assume every woman would be for this new policy, and most men would be against it, and some men would be against it. miky, you're all for this. tell me about your experience in the military serving alongside women and why you're for it? >> i am. i think this is a very sensible pragmatic decision that's been taken by the pentagon. i also think it's a little overdue. i served as an assault helicopter pilot. i served closely and directly on the u.s. forces. iraq three times, afghanistan three times, i worked very closely with women, i ",lower_the_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,387,CSPAN2_20130204_133000_U.S._Senate,"U.S. Senate : CSPAN2 : February 4, 2013 8:30am-12:00pm EST",https://archive.org/download/CSPAN2_20130204_133000_U.S._Senate/CSPAN2_20130204_133000_U.S._Senate.mp4?t=8864/8924?ignore=x.mp4," command that says you need to lower the standards? well, no, i know it's going to happen. it's happened in the past. when did it happen in the past? don't try to be rational. laugh don't make me deal with facts now. you know, and seeing it again in a conversation i had yesterday with an elected officialment there's an assumption -- official. there's an assumption the standards will be lowered that makes people very angry, and they just take it out on you as if you don't belong there. and this is all just going on in people's heads. so they need to go get counseling, you know? [laughter] momental health is available. but this is not real. it's not real. so there's no policies coming down doing that. so we just need to battle that and know that it's out there. >> yeah. i just wanted to comment on this because i very much agree, and i think it's very much a fear about the masculine image of this branches. we see that in norway after, yeah, several, 20 years with female in these positions. but many of our male colleagues have their images built up from american hollywood movies -- [laughter",lower_the_standards,yes,yes,neither,both,both,both,non-progressive,other,animate,no,no,martha mcsally,no,no,no,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
892,384,CSPAN_20130302_220000_Digital_Privacy,"Digital Privacy : CSPAN : March 2, 2013 5:00pm-6:20pm EST",https://archive.org/download/CSPAN_20130302_220000_Digital_Privacy/CSPAN_20130302_220000_Digital_Privacy.mp4?t=3402/3462?ignore=x.mp4," should lower the standard in routine criminal investigations to make it easy to get our email records by subpoena. >> as an historical matter, it was not until cast that the court recognized privacy and telephone calls. you should keep that in mind in terms of whether we say there should be probable cause for all e-mails. >> cats was 1967, right? it has been a pretty solid standard. >> i'm not picking on that. i get that. my point is, we don't have an unbroken line. all e-mails should have a probable cause standard before the government gets it. the main point is that if you have a car out for national security, does that address -- a carve out for national security reasons, the ability to get the information quickly is when you have a hot investigation is important. it is not necessarily a silver bullet. in the post-9/11 era, it is not clear what a law enforcement operation is as opposed to a national security operation. you can take what were relatively segregated operations all law enforcement and national security and integrate them. now you have more of a continuum of operations fro",lower_the_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
893,299,CNN_20100925_040000_Larry_King_Live,"Larry King Live : CNN : September 25, 2010 12:00am-1:00am EDT",https://archive.org/download/CNN_20100925_040000_Larry_King_Live/CNN_20100925_040000_Larry_King_Live.mp4?t=1502/1562?ignore=x.mp4," they lower the standard for that bit? >> no, i think it got an emmy. i think the entire academy enjoyed it. >> larry: we'll be right back with more on the cast of ""saturday night live."" don't go away. i'm iris cross. we'll keep restoring the jobs, tourist beaches, and businesses impacted by the spill. we've paid over $400 million in claims and set up a $20 billion independently-run claims fund. i was born in new orleans. my family still lives here. i'm gonna be here until we make this right. we get double miles on every purchase. echo! so we earned a trip to the grand canyon twice as fast. uhoh. we get double miles every time we use our card. i'll take these. no matter what we're buying. plus the damages. and since double miles add up quick, we can bring the whole gang. it's hard to beat double miles. no, we ride them. [ male announcer ] get the venture card from capital one and earn double miles on every purchase, every day. go to capitalone.com. what's in your wallet? oh, that's the spot! the scent of gain laundry detergent. and the moment she set eyes on gain fabric softener.",lower_the_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,273,FBC_20150108_210000_After_the_Bell,"After the Bell : FBC : January 8, 2015 4:00pm-5:01pm EST",https://archive.org/download/FBC_20150108_210000_After_the_Bell/FBC_20150108_210000_After_the_Bell.mp4?t=1881/1941?ignore=x.mp4," talking about responsible? they're now lowering the standards on getting mortgages. they finally got it right a few years ago when you had the housing problem, they raised how much you had to put down to get a house, they're now lowering that to where you can put down 3% to get a house. the bubble will burst again, the fed's doing whatever they're doing, and people are going to drop the keys on the doorstep again, and we're going to have another big drop in housing prices. just an absolute mistake by this government, i wish they'd yet the heck out of the way -- get the heck out of the way. cheryl: i love you, gary, but i disagree completely. >> that's okay. cheryl: the banks are still in a very tight lending environment, and the bank structure of these loans, the credit scores are still high, you know, you could get -- you can have no credit score and get a house seven years ago. that's changed. and i think that the 3% down, i think the banks are going to be a lot more responsible. david: what bothers me most about this, i think cheryl is right, there's no question it's harder to get a ",lower_the_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,78,WHUT_20090911_023000_Worldfocus,"Worldfocus : WHUT : September 10, 2009 10:30pm-11:00pm EDT",https://archive.org/download/WHUT_20090911_023000_Worldfocus/WHUT_20090911_023000_Worldfocus.mp4?t=208/268?ignore=x.mp4," would lower the standard he says the cost isn't the technology but the administration of private insurance claims. >> we're spending 17% of our gross national product on health u are in the uk.ess healthy than we don't live as long. on most metrics -- >> but you can get care in this cardiology unit you can't get in britain. >> right. so i want to have the best of both worlds and i believe it is possible. we have to eliminate waste. if we don't spend 29% of every dollar on administrative costs for our health insurance programs, that money can be used to maintain the standard of care. >> in the cardiac unit, the da vinci robot performs hard surgery. the machine costs almost $2 million. president obama must convince americans that his reform will retain this high technology and provide insurance to more people. but a cost the country can afford. lindsey hilsum, channel 4 news, cleveland, ohio. >>> if you saw president obama's speech last night, then you will recall that outburst by one republican who accused the president of lying when he said democratic proposals would not cover il",lower_the_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,454,CSPAN2_20130524_210000_U.S._Senate,"U.S. Senate : CSPAN2 : May 24, 2013 5:00pm-7:01pm EDT",https://archive.org/download/CSPAN2_20130524_210000_U.S._Senate/CSPAN2_20130524_210000_U.S._Senate.mp4?t=7110/7170?ignore=x.mp4," raise their standards tomorrow. arizona wants to lower the standards. you the right to do that. i would encourage you not to . >> thank you secretary duncan. >> a straightforward question. it you answered it. i appreciate it. you said that the federal government has no intention of getting involved in directing what the states do for curriculum. i appreciate it. i yield back the balance of my time. >> to be clear we are prohibited by law from doing that. >> gentleman yields back. >> thank you, mr. chairman i too have a guest with me. jenny from dayton, ohio who is one 6 our foster -- of foster care advocate. thank you for being here. thank you, mr. secretary for. thank you for your focus on children. which sometimes i think gets lost. before i begin, i want to make a comment about the smart solutions they talked about earlier. let me say for the record say if it's not smart it's a solution. all it is is a another vote that is going try to balance the budget or make cuts on the back of those who can least afford it. for those who are concerned about idea, i know that i don't think ",lower_the_standards,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,437,CSPAN_20140806_043000_Key_Capitol_Hill_Hearings,"Key Capitol Hill Hearings : CSPAN : August 6, 2014 12:30am-2:31am EDT",https://archive.org/download/CSPAN_20140806_043000_Key_Capitol_Hill_Hearings/CSPAN_20140806_043000_Key_Capitol_Hill_Hearings.mp4?t=6467/6527?ignore=x.mp4," know if they can succeed or whether or not we ought to lower the standards so that one or pose a or johnny is -- so that poor john or jose or juan is able to make it. i actually think we're doing great. i think this is a country where if you come here and work hard, you live by the rules, you can still make it. none of us needs a handout. >> i have admired you as a radio host and have been grateful to keep you as part of the summit. we have a significant sponsorship position with the summit this week and have you as one of the stalwarts on the editorial page. tammy and john are a peer. really, that is the subject of the panel -- don't we want a place were we are judged by the content of our character and not by the color of our skin? it is in america that has realized the color of our skin matters no more than the fact that they have a different accent color, but how do you think we are doing, tammy? >> i have great admiration for linda. we can't really see you appear because of the lights. i am scotch irish so i am actually pink. i know there are other scottish out here in the room",lower_the_standards,yes,yes,neither,both,one,one,non-progressive,speaker,NA,no,no,linda chavez,no,no,yes,NA,NA,L,halfway,front,down,NA,NA,NA,NA,yes,NA
898,306,CSPAN2_20111021_230000_Close_Up,"Close Up : CSPAN2 : October 21, 2011 7:00pm-8:00pm EDT",https://archive.org/download/CSPAN2_20111021_230000_Close_Up/CSPAN2_20111021_230000_Close_Up.mp4?t=169/229?ignore=x.mp4," it might be. those are difficult to find. we are not trying to lower the standards of a special-education teacher. >> you received. i'm on your side on this. but i was singing is to have all of those disciplines that's like a very, very high bar. >> if the senator would yield. many of our elementary school teachers teach all of those courses in the elementary schools, and yet one classroom, one teacher teaches a lot of those courses. >> absolutely. if they are teaching all of those things i think they would require that, but if they are not teaching all those things, are there special lead teachers to teach only reading or special ed teachers that teach only math? >> can i try to address i think what both of you have just said and may be disconnected at elementary school teacher does not have to, as i and stand, does not have to be certified for all the different subject matters to be classified as highly qualified teachers? in the case of a special-education teacher, not only would they need to meet the requirements of the special-education to be highly qualified, they would ha",lower_the_standards,yes,yes,one,one,one,one,non-progressive,speaker,NA,no,no,johnny isakson,no,no,yes,NA,NA,R,halfway,front,down,NA,NA,NA,NA,yes,NA
899,669,CSPAN2_20110617_160000_U.S._Senate,"U.S. Senate : CSPAN2 : June 17, 2011 12:00pm-5:00pm EDT",https://archive.org/download/CSPAN2_20110617_160000_U.S._Senate/CSPAN2_20110617_160000_U.S._Senate.mp4?t=2509/2569?ignore=x.mp4," on the other hand you're increasing trade to lower the standards of living by lowering productivity. and i always wonder why we do this? what we're looking for, at least use the word increasing jobs, at least use the word, productive jobs because there is an essential arithmetical contradiction between trying to get the highest standard of living and the maximum number of jobs. you can have everybody in the society employed if half the, half the workforce dig as hole and the other half fills it in. that is low employment. i say it facetiously but i think it makes an important point. i'm frankly curious, how do you fit, i notice everybody is talking in terms of jobs but the question really is, trade policy is always been the issue of essentially enforcing agreements and lowering tariff barriers and essentially, i mean all the trade negotiations going back to the kennedy round and earlier have all been focusing on removing barriers to trade, which every economist will tell you is a splendid excellent idea. the word jobs, in my recollection has never been in that discussion. and i don'",lower_the_standards,yes,yes,neither,both,both,both,non-progressive,other,animate,no,no,alan greenspan,no,no,yes,yes,NA,both,closed,NA,down,NA,NA,NA,NA,NA,NA
900,402,CSPAN_20110915_110000_Washington_Journal,"Washington Journal : CSPAN : September 15, 2011 7:00am-10:00am EDT",https://archive.org/download/CSPAN_20110915_110000_Washington_Journal/CSPAN_20110915_110000_Washington_Journal.mp4?t=9712/9772?ignore=x.mp4," problem i have with my republican friends is their economic policies are all about lowering the standard of living for working families in this country. you know, we should be trying to increase the working standards, the living standards for american workers, and i would also say that rather than bringing up a bill that makes it easier and more likely for companies, u.s. companies to -- i yield myself an additional 30 seconds. the speaker pro tempore: the gentleman is recognized. mr. mcgovern: rather than bringing up a bill that make it likely to send u.s. jobs overseas they should be bringing to the floor the president's jobs bill that he talked about here in the united states congress, putting people back to work. he came up with a series of bipartisan initiatives that will help stimulate, jump-start this economy. and rather than doing that which would put people back to work we are debating an anti-worker bill that will make it more likely that u.s. corporations will ship u.s. jobs overseas. it is wrong and i would urge my republican friends to stop your assault on american workers. i r",lower_the_standards,yes,yes,one,one,one,one,none,other,inanimate,no,no,jim mcgovern,no,no,yes,NA,NA,R,open,down,down,NA,NA,NA,NA,NA,NA
901,73,KPIX_20170714_110000_CBS_Morning_News,"CBS Morning News : KPIX : July 14, 2017 4:00am-4:30am PDT",https://archive.org/download/KPIX_20170714_110000_CBS_Morning_News/KPIX_20170714_110000_CBS_Morning_News.mp4?t=364/424?ignore=x.mp4," implemented in 2011 lowered the standard of proof for sexual assault and all but denied cross-examination of witnesses. devos says the system isn't working. >> we'll get to work to figure out the best way to solve this problem, to stop and reduce dramatically sexual harassment and assault while respecting due process and the rule of law. >> many of those who oppose the obama-era rules say they want assault cases handled by the criminal justice system, not university administrators. >>> there's been a confession in the murders of four young men in pennsylvania. brook silva-braga with the details. good morning. >> good morning. cosmo dinardo said he was sorry. he confessed to taking part in the killings of those four missing men. dinardo told prosecutors where the bodies were buried. the boremains were located on a farm owned by his parents north of philadelphia. >> he admitted to his participation or the commission of the four murders. additionally in lieu of that and in favor of that, the commonwealth will not be seeking the death penalty. >> reporter: the four men disappeared last week. onl",lower_the_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,189,KGO_20170816_230000_ABC7_News_400PM,"ABC7 News 4:00PM : KGO : August 16, 2017 4:00pm-5:00pm PDT",https://archive.org/download/KGO_20170816_230000_ABC7_News_400PM/KGO_20170816_230000_ABC7_News_400PM.mp4?t=146/206?ignore=x.mp4," never been used before, for a reason. >> congress should be very reluctant to lower the standards, we don't want to have a situation where an opposition party in congress can remove a president because he's not of their political party. >> reporter: it's a long shot because the vice president and other members would have to agree the president is unable to do the job. the congressman agrees but is not ready to commit to remove him. >> this president is unfocused, unstable, that's why our founders created a government where congress can assert itself and limit the president's authority. >> reporter: congress woman speier says she will begin talking to her colleagues in the house very soon, since it requires a backing of the president's cabinet and republicans in congress, it is belong a long shot, eric thomas, abc 7 news. >> as difficult as it would be to remove a president using the 27th amendment. professor paul says it's easier than through impeachment. >> that requires a two-thirds of the republican senate. >>> abc 7 news was there as agentss armed with a federal warrant took perso",lower_the_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
903,377,KPIX_20110930_130000_CBS_5_Eyewitness_News_at_6AM,"CBS 5 Eyewitness News at 6AM : KPIX : September 30, 2011 6:00am-7:00am PDT",https://archive.org/download/KPIX_20110930_130000_CBS_5_Eyewitness_News_at_6AM/KPIX_20110930_130000_CBS_5_Eyewitness_News_at_6AM.mp4?t=2265/2325?ignore=x.mp4," recently to address sexual assaults including lowering the standard of evidence for reporting the rape so that could be why more victims are reporting assaults. 21 assaults. the majority of the victim and assailants knew each other. there is other information in the report about crime. there was another spike in crime and that had to do with car and property thefts -- car and building thefts here at the stanford campus. those were both up. down, the type of crime that was down include drug arrests, alcohol incidents and also bicycle thefts. bike thefts have been a big problem on the stanford campus in the past and last year they were actually down. that is the latest from here in stanford. reporting live, matt bigler for cbs 5. >>> 6:38 now. and attention, all you target shoppers out there. a vip has been caught on camera in the store incognito. that story is up ahead. >> a big vip. and one of the best things the bay area so many great places to get a bite to eat. liam will share some of the best bargains he found with a couple of familiar faces. >>> and the market opens just abou",lower_the_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,102,CSPAN2_20101220_020000_Book_TV,"Book TV : CSPAN2 : December 19, 2010 9:00pm-10:00pm EST",https://archive.org/download/CSPAN2_20101220_020000_Book_TV/CSPAN2_20101220_020000_Book_TV.mp4?t=2919/2979?ignore=x.mp4," many cases we have had to lower the standards and that means of the aptitude requirements, we lowered the education requirements, we have raised the age limit up to 42 that you can enlist the the the quality of the force under the current enlistment standards will gradually go down from where it was during your tenure as secretary and finance chairman, and i am concerned about that and i have had several senior leaders talk to me about that, so that is what i see as long-range that spells trouble because we start off with such a quality force, the best the repetitive keep coming and the stress level keeps up, my concern is our quality will continue to go down. >> host: looking at the choices does it mean we need more high-quality people or fewer deployments? what is the mcsweeney right now as we are looking at our deficit which is significant. there are now proposals to cut the defense as well as other programs. what will the choices be to either increase the size of the force or which costs a great deal of money or do you cut down deployments, the more restrictive and selective in te",lower_the_standards,yes,yes,neither,both,neither,neither,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,268,CNNW_20160417_130000_State_of_the_Union_With_Jake_Tapper,"State of the Union With Jake Tapper : CNNW : April 17, 2016 6:00am-7:01am PDT",https://archive.org/download/CNNW_20160417_130000_State_of_the_Union_With_Jake_Tapper/CNNW_20160417_130000_State_of_the_Union_With_Jake_Tapper.mp4?t=2685/2745?ignore=x.mp4," president. >> go ahead. >> no -- i mean, it's not lowering the standards. it is right, people over the party, and we keep talking about what's best for the party, the party, the party. well, the people are tired of this. >> absolutely. >> they want somebody to pay attention to them for a change. and the more they learn about what both parties are doing, whether it's the superdelegates on the democratic side or what's going on on the republican side, the average citizen who might not necessarily be an insider, they are mortified by the fact that this is what happens in terms of trying to elect the president. >> you are so correct. >> sure -- >> amanda says it is about the party, but it's just not being explained correctly by the party leadership. >> i think he could do a better job. listen, the party has a right to choose its nominee. people don't like that, start a new party. you can have one -- pick a nominee that reflects the popular vote. >> i mean, come on, now, in the united states of america. >> after every election that do take place. and the system that is in place now that donald tr",lower_the_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,472,CNN_20110607_190000_CNN_Newsroom,"CNN Newsroom : CNN : June 7, 2011 3:00pm-5:00pm EDT",https://archive.org/download/CNN_20110607_190000_CNN_Newsroom/CNN_20110607_190000_CNN_Newsroom.mp4?t=3258/3318?ignore=x.mp4," at his old hospital. he says they trimmed the budget, lowered the standard and allowed dirty surgical tools and it led to infections. we're going to hear from him and then the hospital ahead. >>> time for a politics update. wolf, let's talk about congressman anthony weiner. the whole story came out live about the whole twitter picture, pictures. i read today eric cantor is calling for him to resign? >> a few republicans are saying that he should resign and do the right thing. eric cantor, the republican national committee. democrats, by and large, are saying there is going to be a house ethics committee investigation. let's see what happens there. harry reid was uncomfortable discussing it. we did catch up with him. he was asked if he thought that anthony weiner should step down. listen to what he said. >> you didn't say whether you thought congressman anthony weiner should resign. >> i'm not here to defend weiner. that's all i'm going to say. >> what would you say if he asked you? >> call somebody else. >> so weiner is not getting a whole lot of support right now. newspaper editorial",lower_the_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
